Time	S	I	R
0.000000	0.999000	0.001000	0.000000
0.090000	0.998847	0.001051	0.000102
0.190000	0.998686	0.001105	0.000210
0.290000	0.998517	0.001161	0.000323
0.390000	0.998339	0.001220	0.000441
0.490000	0.998152	0.001282	0.000566
0.590000	0.997956	0.001347	0.000697
0.690000	0.997749	0.001415	0.000835
0.790000	0.997533	0.001487	0.000980
0.890000	0.997305	0.001563	0.001132
0.990000	0.997066	0.001642	0.001292
1.090000	0.996815	0.001725	0.001460
1.190000	0.996551	0.001813	0.001636
1.290000	0.996274	0.001904	0.001821
1.390000	0.995983	0.002000	0.002016
1.490000	0.995678	0.002102	0.002221
1.590000	0.995357	0.002208	0.002436
1.690000	0.995020	0.002319	0.002661
1.790000	0.994666	0.002435	0.002898
1.890000	0.994295	0.002558	0.003147
1.990000	0.993905	0.002686	0.003409
2.090000	0.993495	0.002821	0.003683
2.190000	0.993066	0.002962	0.003972
2.290000	0.992615	0.003111	0.004275
2.390000	0.992141	0.003266	0.004593
2.490000	0.991645	0.003429	0.004927
2.590000	0.991123	0.003600	0.005277
2.690000	0.990576	0.003778	0.005645
2.790000	0.990003	0.003966	0.006031
2.890000	0.989401	0.004162	0.006437
2.990000	0.988770	0.004368	0.006862
3.090000	0.988108	0.004584	0.007308
3.190000	0.987414	0.004809	0.007777
3.290000	0.986686	0.005046	0.008268
3.390000	0.985923	0.005293	0.008784
3.490000	0.985124	0.005551	0.009325
3.590000	0.984286	0.005822	0.009892
3.690000	0.983408	0.006105	0.010487
3.790000	0.982488	0.006401	0.011111
3.890000	0.981525	0.006710	0.011765
3.990000	0.980516	0.007034	0.012450
4.090000	0.979460	0.007371	0.013168
4.190000	0.978354	0.007724	0.013921
4.290000	0.977197	0.008092	0.014710
4.390000	0.975987	0.008477	0.015537
4.490000	0.974720	0.008877	0.016402
4.590000	0.973396	0.009296	0.017309
4.690000	0.972011	0.009731	0.018258
4.790000	0.970564	0.010185	0.019251
4.890000	0.969051	0.010658	0.020291
4.990000	0.967471	0.011150	0.021378
5.090000	0.965821	0.011663	0.022516
5.190000	0.964098	0.012195	0.023706
5.290000	0.962301	0.012749	0.024951
5.390000	0.960425	0.013324	0.026251
5.490000	0.958469	0.013921	0.027610
5.590000	0.956429	0.014540	0.029030
5.690000	0.954304	0.015183	0.030513
5.790000	0.952091	0.015848	0.032061
5.890000	0.949786	0.016538	0.033677
5.990000	0.947387	0.017251	0.035362
6.090000	0.944892	0.017988	0.037120
6.190000	0.942297	0.018750	0.038953
6.290000	0.939601	0.019536	0.040863
6.390000	0.936800	0.020347	0.042853
6.490000	0.933892	0.021182	0.044925
6.590000	0.930875	0.022043	0.047082
6.690000	0.927747	0.022927	0.049326
6.790000	0.924505	0.023836	0.051659
6.890000	0.921147	0.024768	0.054085
6.990000	0.917672	0.025724	0.056604
7.090000	0.914077	0.026703	0.059221
7.190000	0.910361	0.027704	0.061936
7.290000	0.906522	0.028726	0.064752
7.390000	0.902560	0.029768	0.067671
7.490000	0.898474	0.030830	0.070696
7.590000	0.894263	0.031910	0.073827
7.690000	0.889926	0.033007	0.077067
7.790000	0.885463	0.034119	0.080418
7.890000	0.880875	0.035244	0.083880
7.990000	0.876162	0.036382	0.087456
8.090000	0.871325	0.037529	0.091146
8.190000	0.866365	0.038685	0.094951
8.290000	0.861283	0.039846	0.098871
8.390000	0.856082	0.041010	0.102908
8.490000	0.850763	0.042175	0.107062
8.590000	0.845330	0.043338	0.111331
8.690000	0.839785	0.044497	0.115718
8.790000	0.834132	0.045649	0.120219
8.890000	0.828374	0.046791	0.124836
8.990000	0.822515	0.047919	0.129566
9.090000	0.816560	0.049032	0.134408
9.190000	0.810514	0.050125	0.139360
9.290000	0.804383	0.051196	0.144421
9.390000	0.798170	0.052242	0.149588
9.490000	0.791883	0.053259	0.154858
9.590000	0.785526	0.054245	0.160229
9.690000	0.779108	0.055196	0.165696
9.790000	0.772633	0.056109	0.171257
9.890000	0.766109	0.056983	0.176908
9.990000	0.759543	0.057813	0.182644
10.090000	0.752942	0.058597	0.188461
10.190000	0.746312	0.059333	0.194354
10.290000	0.739662	0.060019	0.200319
10.390000	0.732998	0.060652	0.206350
10.490000	0.726328	0.061231	0.212441
10.590000	0.719658	0.061753	0.218589
10.690000	0.712997	0.062218	0.224785
10.790000	0.706350	0.062624	0.231026
10.890000	0.699726	0.062969	0.237304
10.990000	0.693131	0.063254	0.243615
11.090000	0.686572	0.063478	0.249950
11.190000	0.680055	0.063639	0.256306
11.290000	0.673586	0.063739	0.262675
11.390000	0.667171	0.063778	0.269051
11.490000	0.660816	0.063755	0.275428
11.590000	0.654527	0.063672	0.281801
11.690000	0.648308	0.063530	0.288162
11.790000	0.642165	0.063329	0.294506
11.890000	0.636102	0.063070	0.300828
11.990000	0.630122	0.062756	0.307121
12.090000	0.624231	0.062388	0.313381
12.190000	0.618431	0.061968	0.319601
12.290000	0.612725	0.061497	0.325777
12.390000	0.607118	0.060978	0.331904
