Time	S	I	R
0.000000	0.999000	0.001000	0.000000
0.090000	0.998791	0.001104	0.000105
0.190000	0.998560	0.001220	0.000220
0.290000	0.998305	0.001347	0.000348
0.390000	0.998024	0.001487	0.000489
0.490000	0.997714	0.001642	0.000644
0.590000	0.997371	0.001813	0.000816
0.690000	0.996993	0.002002	0.001006
0.790000	0.996576	0.002210	0.001215
0.890000	0.996115	0.002439	0.001446
0.990000	0.995607	0.002692	0.001701
1.090000	0.995047	0.002971	0.001983
1.190000	0.994428	0.003278	0.002293
1.290000	0.993747	0.003617	0.002636
1.390000	0.992995	0.003990	0.003014
1.490000	0.992167	0.004401	0.003431
1.590000	0.991254	0.004854	0.003892
1.690000	0.990249	0.005352	0.004399
1.790000	0.989142	0.005900	0.004958
1.890000	0.987922	0.006502	0.005575
1.990000	0.986581	0.007165	0.006255
2.090000	0.985104	0.007892	0.007003
2.190000	0.983481	0.008691	0.007828
2.290000	0.981697	0.009568	0.008736
2.390000	0.979736	0.010529	0.009735
2.490000	0.977584	0.011581	0.010834
2.590000	0.975223	0.012734	0.012044
2.690000	0.972634	0.013994	0.013373
2.790000	0.969796	0.015370	0.014833
2.890000	0.966691	0.016873	0.016437
2.990000	0.963294	0.018510	0.018196
3.090000	0.959582	0.020292	0.020126
3.190000	0.955531	0.022228	0.022241
3.290000	0.951114	0.024329	0.024557
3.390000	0.946305	0.026604	0.027091
3.490000	0.941077	0.029063	0.029860
3.590000	0.935401	0.031715	0.032884
3.690000	0.929249	0.034569	0.036183
3.790000	0.922593	0.037632	0.039776
3.890000	0.915405	0.040910	0.043685
3.990000	0.907660	0.044409	0.047931
4.090000	0.899333	0.048130	0.052538
4.190000	0.890400	0.052074	0.057526
4.290000	0.880842	0.056238	0.062919
4.390000	0.870645	0.060617	0.068738
4.490000	0.859794	0.065201	0.075005
4.590000	0.848285	0.069976	0.081738
4.690000	0.836117	0.074926	0.088957
4.790000	0.823295	0.080027	0.096678
4.890000	0.809833	0.085252	0.104915
4.990000	0.795749	0.090572	0.113679
5.090000	0.781073	0.095949	0.122978
5.190000	0.765841	0.101344	0.132816
5.290000	0.750095	0.106713	0.143192
5.390000	0.733887	0.112010	0.154102
5.490000	0.717275	0.117188	0.165538
5.590000	0.700321	0.122196	0.177483
5.690000	0.683095	0.126985	0.189920
5.790000	0.665668	0.131507	0.202825
5.890000	0.648116	0.135716	0.216168
5.990000	0.630514	0.139570	0.229916
6.090000	0.612938	0.143030	0.244032
6.190000	0.595461	0.146064	0.258475
6.290000	0.578153	0.148645	0.273201
6.390000	0.561082	0.150753	0.288165
6.490000	0.544309	0.152374	0.303317
6.590000	0.527889	0.153502	0.318609
6.690000	0.511871	0.154137	0.333992
6.790000	0.496298	0.154286	0.349416
6.890000	0.481205	0.153961	0.364834
6.990000	0.466621	0.153180	0.380199
7.090000	0.452567	0.151967	0.395466
7.190000	0.439060	0.150347	0.410593
7.290000	0.426109	0.148350	0.425541
7.390000	0.413719	0.146008	0.440273
7.490000	0.401890	0.143353	0.454757
7.590000	0.390617	0.140421	0.468962
7.690000	0.379892	0.137245	0.482863
7.790000	0.369704	0.133859	0.496437
7.890000	0.360039	0.130297	0.509664
7.990000	0.350883	0.126590	0.522528
8.090000	0.342217	0.122767	0.535016
8.190000	0.334024	0.118859	0.547117
8.290000	0.326284	0.114891	0.558825
8.390000	0.318979	0.110887	0.570134
8.490000	0.312088	0.106870	0.581042
8.590000	0.305592	0.102860	0.591548
8.690000	0.299471	0.098874	0.601655
8.790000	0.293706	0.094930	0.611364
8.890000	0.288279	0.091040	0.620682
8.990000	0.283170	0.087217	0.629613
9.090000	0.278364	0.083471	0.638165
9.190000	0.273842	0.079811	0.646347
9.290000	0.269590	0.076244	0.654167
9.390000	0.265590	0.072775	0.661634
9.490000	0.261830	0.069411	0.668759
9.590000	0.258294	0.066153	0.675553
9.690000	0.254970	0.063005	0.682026
9.790000	0.251844	0.059967	0.688189
9.890000	0.248906	0.057041	0.694053
9.990000	0.246144	0.054227	0.699629
10.090000	0.243547	0.051523	0.704929
10.190000	0.241106	0.048930	0.709964
10.290000	0.238811	0.046445	0.714744
10.390000	0.236653	0.044066	0.719281
10.490000	0.234624	0.041792	0.723584
10.590000	0.232716	0.039619	0.727665
10.690000	0.230922	0.037545	0.731533
10.790000	0.229235	0.035567	0.735198
10.890000	0.227649	0.033683	0.738669
10.990000	0.226157	0.031888	0.741955
11.090000	0.224753	0.030180	0.745067
11.190000	0.223433	0.028556	0.748011
11.290000	0.222192	0.027012	0.750796
11.390000	0.221024	0.025545	0.753431
11.490000	0.219925	0.024153	0.755922
11.590000	0.218891	0.022831	0.758278
11.690000	0.217918	0.021578	0.760504
11.790000	0.217003	0.020389	0.762607
11.890000	0.216142	0.019263	0.764595
11.990000	0.215332	0.018195	0.766473
12.090000	0.214569	0.017184	0.768247
12.190000	0.213852	0.016227	0.769921
12.290000	0.213176	0.015321	0.771503
12.390000	0.212540	0.014464	0.772996
12.490000	0.211942	0.013652	0.774406
12.590000	0.211379	0.012885	0.775736
12.690000	0.210848	0.012160	0.776992
12.790000	0.210349	0.011474	0.778176
12.890000	0.209880	0.010826	0.779294
12.990000	0.209437	0.010214	0.780349
13.090000	0.209021	0.009635	0.781344
13.190000	0.208629	0.009089	0.782283
13.290000	0.208260	0.008572	0.783168
13.390000	0.207912	0.008085	0.784003
13.490000	0.207585	0.007624	0.784791
13.590000	0.207277	0.007190	0.785533
13.690000	0.206986	0.006780	0.786234
13.790000	0.206713	0.006393	0.786894
13.890000	0.206456	0.006027	0.787517
13.990000	0.206214	0.005682	0.788104
14.090000	0.205986	0.005357	0.788657
14.190000	0.205771	0.005050	0.789179
14.290000	0.205568	0.004761	0.789671
14.390000	0.205378	0.004488	0.790135
14.490000	0.205198	0.004230	0.790572
14.590000	0.205029	0.003987	0.790984
14.690000	0.204870	0.003758	0.791372
14.790000	0.204720	0.003542	0.791738
14.890000	0.204579	0.003338	0.792083
14.990000	0.204446	0.003146	0.792408
15.090000	0.204321	0.002965	0.792714
15.190000	0.204203	0.002794	0.793003
15.290000	0.204092	0.002633	0.793275
15.390000	0.203987	0.002481	0.793531
15.490000	0.203889	0.002338	0.793773
15.590000	0.203796	0.002203	0.794001
15.690000	0.203708	0.002076	0.794215
15.790000	0.203626	0.001956	0.794417
15.890000	0.203549	0.001844	0.794608
15.990000	0.203475	0.001737	0.794787
16.090000	0.203407	0.001637	0.794957
16.190000	0.203342	0.001542	0.795116
16.290000	0.203281	0.001453	0.795266
16.390000	0.203223	0.001369	0.795408
16.490000	0.203169	0.001290	0.795541
16.590000	0.203118	0.001215	0.795667
16.690000	0.203070	0.001145	0.795785
16.790000	0.203025	0.001079	0.795896
16.890000	0.202982	0.001017	0.796001
16.990000	0.202942	0.000958	0.796100
17.090000	0.202904	0.000902	0.796194
17.190000	0.202868	0.000850	0.796282
17.290000	0.202835	0.000801	0.796364
17.390000	0.202803	0.000755	0.796442
17.490000	0.202773	0.000711	0.796516
17.590000	0.202745	0.000670	0.796585
17.690000	0.202719	0.000631	0.796650
17.790000	0.202694	0.000594	0.796712
17.890000	0.202670	0.000560	0.796770
17.990000	0.202648	0.000528	0.796824
18.090000	0.202628	0.000497	0.796875
18.190000	0.202608	0.000468	0.796924
18.290000	0.202589	0.000441	0.796969
18.390000	0.202572	0.000416	0.797012
18.490000	0.202556	0.000392	0.797053
18.590000	0.202540	0.000369	0.797091
18.690000	0.202526	0.000347	0.797127
18.790000	0.202512	0.000327	0.797161
18.890000	0.202499	0.000308	0.797193
18.990000	0.202487	0.000291	0.797223
19.090000	0.202475	0.000274	0.797251
19.190000	0.202465	0.000258	0.797278
19.290000	0.202454	0.000243	0.797303
19.390000	0.202445	0.000229	0.797326
19.490000	0.202436	0.000216	0.797349
19.590000	0.202427	0.000203	0.797370
19.690000	0.202419	0.000191	0.797389
19.790000	0.202412	0.000180	0.797408
19.890000	0.202405	0.000170	0.797426
19.990000	0.202398	0.000160	0.797442
20.090000	0.202392	0.000151	0.797458
20.190000	0.202386	0.000142	0.797472
20.290000	0.202380	0.000134	0.797486
20.390000	0.202375	0.000126	0.797499
20.490000	0.202370	0.000119	0.797511
20.590000	0.202365	0.000112	0.797523
20.690000	0.202361	0.000105	0.797534
20.790000	0.202357	0.000099	0.797544
20.890000	0.202353	0.000093	0.797554
20.990000	0.202349	0.000088	0.797563
21.090000	0.202346	0.000083	0.797571
21.190000	0.202342	0.000078	0.797579
21.290000	0.202339	0.000074	0.797587
21.390000	0.202336	0.000069	0.797594
21.490000	0.202334	0.000065	0.797601
21.590000	0.202331	0.000062	0.797607
21.690000	0.202329	0.000058	0.797613
21.790000	0.202326	0.000055	0.797619
21.890000	0.202324	0.000051	0.797624
21.990000	0.202322	0.000048	0.797629
22.090000	0.202320	0.000046	0.797634
22.190000	0.202319	0.000043	0.797638
22.290000	0.202317	0.000041	0.797643
22.390000	0.202315	0.000038	0.797647
22.490000	0.202314	0.000036	0.797650
22.590000	0.202312	0.000034	0.797654
22.690000	0.202311	0.000032	0.797657
22.790000	0.202310	0.000030	0.797660
22.890000	0.202309	0.000028	0.797663
22.990000	0.202307	0.000027	0.797666
23.090000	0.202306	0.000025	0.797669
23.190000	0.202305	0.000024	0.797671
23.290000	0.202304	0.000022	0.797673
23.390000	0.202304	0.000021	0.797675
23.490000	0.202303	0.000020	0.797677
23.590000	0.202302	0.000019	0.797679
23.690000	0.202301	0.000018	0.797681
23.790000	0.202301	0.000017	0.797683
23.890000	0.202300	0.000016	0.797685
23.990000	0.202299	0.000015	0.797686
24.090000	0.202299	0.000014	0.797687
24.190000	0.202298	0.000013	0.797689
24.290000	0.202298	0.000012	0.797690
24.390000	0.202297	0.000012	0.797691
24.490000	0.202297	0.000011	0.797692
24.590000	0.202296	0.000010	0.797693
24.690000	0.202296	0.000010	0.797694
24.790000	0.202295	0.000009	0.797695
24.890000	0.202295	0.000009	0.797696
24.990000	0.202295	0.000008	0.797697
25.090000	0.202294	0.000008	0.797698
25.190000	0.202294	0.000007	0.797699
25.290000	0.202294	0.000007	0.797699
25.390000	0.202294	0.000006	0.797700
25.490000	0.202293	0.000006	0.797701
25.590000	0.202293	0.000006	0.797701
25.690000	0.202293	0.000005	0.797702
25.790000	0.202293	0.000005	0.797702
25.890000	0.202293	0.000005	0.797703
25.990000	0.202292	0.000004	0.797703
26.090000	0.202292	0.000004	0.797704
26.190000	0.202292	0.000004	0.797704
26.290000	0.202292	0.000004	0.797704
26.390000	0.202292	0.000004	0.797705
26.490000	0.202292	0.000003	0.797705
26.590000	0.202291	0.000003	0.797705
26.690000	0.202291	0.000003	0.797706
26.790000	0.202291	0.000003	0.797706
26.890000	0.202291	0.000003	0.797706
26.990000	0.202291	0.000002	0.797707
27.090000	0.202291	0.000002	0.797707
27.190000	0.202291	0.000002	0.797707
27.290000	0.202291	0.000002	0.797707
27.390000	0.202291	0.000002	0.797707
27.490000	0.202291	0.000002	0.797708
27.590000	0.202290	0.000002	0.797708
27.690000	0.202290	0.000002	0.797708
27.790000	0.202290	0.000002	0.797708
27.890000	0.202290	0.000001	0.797708
27.990000	0.202290	0.000001	0.797708
28.090000	0.202290	0.000001	0.797709
28.190000	0.202290	0.000001	0.797709
28.290000	0.202290	0.000001	0.797709
28.390000	0.202290	0.000001	0.797709
28.490000	0.202290	0.000001	0.797709
28.590000	0.202290	0.000001	0.797709
28.690000	0.202290	0.000001	0.797709
28.790000	0.202290	0.000001	0.797709
28.890000	0.202290	0.000001	0.797709
28.990000	0.202290	0.000001	0.797709
29.090000	0.202290	0.000001	0.797710
29.190000	0.202290	0.000001	0.797710
29.290000	0.202290	0.000001	0.797710
29.390000	0.202290	0.000001	0.797710
29.490000	0.202290	0.000001	0.797710
29.590000	0.202290	0.000001	0.797710
29.690000	0.202290	0.000000	0.797710
29.790000	0.202290	0.000000	0.797710
29.890000	0.202290	0.000000	0.797710
29.990000	0.202290	0.000000	0.797710
